Keyword	Avg Monthly Volume	Competition	CPC Low	CPC High	YoY Change	Intent	Silo Assignment	Source Batch
pressure washing near me	5000	Low	0.92	7.93	900%	T/L	Pressure Washing	Batch 4 - Head Terms
power washing near me	5000	Low	0.92	7.93	900%	T/L	Pressure Washing	Batch 4 - Head Terms
pressure washing services near me	5000	Low	0.92	7.93	900%	T/L	Pressure Washing	Batch 4 - Head Terms
power washing companies near me	5000	Low	0.92	7.93	900%	T/L	Pressure Washing	Batch 4 - Head Terms
pressure cleaning near me	5000	Low	0.92	7.93	900%	T/L	Pressure Washing	Batch 4 - Head Terms
pressure cleaning companies near me	5000	Low	0.92	7.93	900%	T/L	Pressure Washing	Batch 4 - Head Terms
pressure washer servicing near me	5000	Low	0.92	7.93	900%	T/L	Pressure Washing	Batch 4 - Head Terms
pressure washing conway ar	500	Low			0%	T/L	Pressure Washing	Batch 1 - Conway
gutter cleaning little rock ar	500	High	5.51	23.04	0%	T/L	Gutter Services	Batch 2 - Little Rock
power washing little rock ar	500	Medium	2.52	7.73	0%	T/L	Pressure Washing	Batch 2 - Little Rock
gutter cleaning little rock	500	High	5.51	23.04	0%	T/L	Gutter Services	Batch 2 - Little Rock
pressure washing little rock arkansas	500	Medium	2.52	7.73	0%	T/L	Pressure Washing	Batch 2 - Little Rock
govee permanent outdoor lights	500	High	0.19	0.84	900%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor light	500	High	0.19	0.84	900%	N	Permanent Lighting	Batch 3 - New Commercial
groove permanent outdoor lights	500	High	0.19	0.84	900%	T	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lighting	500	High	0.19	0.84	900%	N	Permanent Lighting	Batch 3 - New Commercial
gov permanent outdoor lights	500	High	0.19	0.84	900%	T	Permanent Lighting	Batch 3 - New Commercial
gutter cleaning near me	500	Medium	3.83	15.12	0%	T/L	Gutter Services	Batch 4 - Head Terms
window cleaning near me	500	Low	1.35	9.23	0%	T/L	Window Cleaning	Batch 4 - Head Terms
window washers near me	500	Low	1.35	9.23	0%	T/L	Window Cleaning	Batch 4 - Head Terms
guttering near me	500	Low	9.03	55.87	900%	T/L	Gutter Services	Batch 4 - Head Terms
rain gutter cleaning near me	500	Medium	3.83	15.12	0%	T/L	Gutter Services	Batch 4 - Head Terms
